service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2016/01/01 05:00:00+00,Rail,Blue Line,1145383,60283,19,1570201,50652,31,1
2016/01/01 05:00:00+00,Ferry,Boat-F1,59503,2975,20,,,31,2
2016/01/01 05:00:00+00,Ferry,Boat-F3,16191,810,20,,,31,3
2016/01/01 05:00:00+00,Ferry,Boat-F4,8172,409,20,,,31,4
2016/01/01 05:00:00+00,Bus,Bus,6985521,367659,19,8225148,265328,31,5
2016/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2827718,134653,21,2794459,90144,31,6
2016/01/01 05:00:00+00,Rail,Green Line,3417417,179864,19,4737150,152811,31,7
2016/01/01 05:00:00+00,Rail,Orange Line,4094142,215481,19,5277916,170255,31,8
2016/01/01 05:00:00+00,Rail,Red Line,4696897,247205,19,6000298,193558,31,9
2016/01/01 05:00:00+00,Bus,Silver Line,669761,35251,19,772265,24912,31,10
2016/01/01 05:00:00+00,The RIDE,The RIDE,113748,5987,19,173378,5593,31,11
2016/02/01 05:00:00+00,Rail,Blue Line,1223715,61186,20,1517324,52322,29,12
2016/02/01 05:00:00+00,Ferry,Boat-F1,58596,2790,21,,,29,13
2016/02/01 05:00:00+00,Ferry,Boat-F3,16811,841,20,,,29,14
2016/02/01 05:00:00+00,Ferry,Boat-F4,8539,427,20,,,29,15
2016/02/01 05:00:00+00,Bus,Bus,7469019,373451,20,8191566,282468,29,16
2016/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2615220,124534,21,2584080,89106,29,17
2016/02/01 05:00:00+00,Rail,Green Line,3813404,190670,20,4817192,166110,29,18
2016/02/01 05:00:00+00,Rail,Orange Line,4360890,218045,20,5222213,180076,29,19
2016/02/01 05:00:00+00,Rail,Red Line,5081211,254061,20,6094219,210145,29,20
2016/02/01 05:00:00+00,Bus,Silver Line,730265,36513,20,734150,25316,29,21
2016/02/01 05:00:00+00,The RIDE,The RIDE,113282,5664,20,165757,5716,29,22
